title;desc;artikul;price;imageFileName
АГАВА несмываемый интенсивный крем для ног из грязей Мертвого моря Dermud;Dermud - интенсивный крем для ног для чувствительной и сухой кожи из эксклюзивной смеси минералов Мертвого моря от АГАВА. Насыщенный крем, который защищает кожу от воздействий, заживляет трещины, смягчает грубую кожу и питает даже самую сухую кожу. Не содержит парабенов и дерматологически протестирован. 100 мл, 3.4 унций тюбик;15212;769,3;ahava-leave-deadsea-mud-dermud-intensive-foot-cream_1.jpg
Антивозрастной облепиховый увлажняющий крем для лица с минералами Мертвого Моря, SPF20;Питает и увлажняет кож. Минералы Мертвого Моря и растительные экстракты помогают избавиться от морщин и не жирнят кожу. Защищает от УФ - воздействия. Для нормальной и сухой кожи;14904;1886,5;anti-aging-sea-buckthorn-obliphica-facial-moisturizer-spf-20-dead-sea-minerals.jpg
Восстанавливающий крем для ног с комплексом Urea Мертвого моря от Natural Sea Beauty;Natural Sea Beauty выделяется в области косметических продуктов использованием минералов Мертвого моря для большего эффекта, увлажнения кожи и омолаживания ее, приводя в здоровое состояние. Их Минеральный восстанавливающий лосьон для тела - это прекрасный выбор для здоровья вашей кожи и счастье.;16990;1746,5;dead-sea-foot-repair-cream-20-urea-natural-sea-beauty.jpg
Гель - пилинг для лица, косметика Мертвого Моря;Уникальный гель с минеральными компонентами Мертвого Моря. Гель безопасен ( не сжигает) и может наносится на лицо, шею и зону декольте. Удаляет омертвевшие клетки кожи и способствует омоложению и регенерации. Гель гипоалергенный, не вызывает раздражений на коже;16007;1956,5;dead-sea-facial-peeling-gel.jpg
Гранатовый восстанавливающий крем для лица и шеи с минералами Мертвого Моря, SPF 15;Увлажняющий антивозрастной крем с экстрактом граната и органовым маслом. Для всех типов кожи. 50 мл;14924;1886,5;pomegranate-firming-face-and-neck-cream-dead-sea-minerals-spf-15.jpg
Деликатный крем для глаз от Sea of Spa и Bio-Marine;Чувствительная область вокруг глаз может высохнуть, но ею часто пренебрегают. Этот легко впитывающийся крем для глаз разглаживает кожу и помогает замедлить процесс старения, сохраняя кожу увлаженной и мягкой. 50мл / 1.7 жидких унций;17299;1746,5;bio-marine-delicate-eye-cream-sea-spa_0.jpg
Коллагеновая восстанавливающая маска с минералами Мертвого Моря;Антивозрастная антиоксидантная маска с коллагеном, минералами Мертвого Моря и растительными экстрактами.100 мл упаковка;13177;1886,5;collagen-firming-facial-mask-dead-sea-minerals.jpg
Маска-пилинг с минералами Мертвого Моря и абрикосовыми микро-гранулами;Пилинг-маска  - очищает   and отшелушивает, оживляя и  and омолаживая кожу практически мгновенно. 100 мл;13179;1886,5;dead-sea-mineral-peeling-mask-apricot-micro-grains.jpg
Минеральный освежающий тоник, Косметика мертвого Моря, Sea of Spa;Обогащен минеральными веществами Мертвого Моря и растительными экстрактами.  Омолаживающий эффект;7478;1676,5;dead-sea-mineral-refreshing-toner-sea-spa.jpg
Мультивитаминный крем для лица с минералам Мертвого Моря SPF-20;Крем содержит минеральные вещества Мертвого Моря и растительные экстракты, так же содержит солнцезащитные фильтры, защищающие кожу от УФ повреждения. Подходит для нормальной и комбинированной кожи;14920;1886,5;dead-sea-mineral-multi-vitamin-face-cream-spf-20.jpg
