title;(No column name);artikul;price;imageFileName
AHAVA Deadsea, Минеральный крем для рук;Питательный, содержащий минералы Метртвого Моря крем от  AHAVA.<br>Содрежит УФ - фильтры, гипоалергенный, не содержит парабенов, 100 мл;15268;714,35;ahava-deadsea-water-mineral-hand-cream.jpg
AHAVA Крем для рук - Набор из трех упаковок;Набор из трех кремов;15270;2921,75;ahava-hand-cream-super-saver-3-pack.jpg
AHAVA Набор Крем для рук и Лосьон для тела, Dead Sea Cosmetics;Косметика AHAVA известна своими запатентованными комплексами, которые в сочетании с растительными экстрактами увлажняют, восстанавливают и омолаживают кожу рук и тела. Подходит для всех типов кожи;16580;1816,75;ahava-value-set-hand-cream-and-body-lotion-dead-sea-cosmetics.jpg
AHAVA Набор Крем для сухой кожи рук и Крем для ног, Dead Sea Cosmetics;DERMUD - это рациональный уход именно за сухой и чувствительной кожей.<br>Эффективно устраняет дефекты сухой кожи : шелушение, огрубение, покраснение, трещины). 100 ml;16581;1946,75;ahava-value-set-dermud-hand-cream-and-foot-cream-dead-sea-cosmetics.jpg
AHAVA Набор минеральный  Крем для рук и Крем для ног, Dead Sea Cosmetics;Косметика AHAVA известна своими запатентованными комплексами, которые в сочетании с растительными экстрактами увлажняют, восстанавливают и омолаживают кожу рук и ног. Подходит для всех типов кожи 100 ml;16582;1946,75;ahava-value-set-mineral-hand-cream-and-foot-cream-dead-sea-cosmetics.jpg
Bio Spa Dead Sea Грязевая маска Sea of Spa;Грязевая маска с минералами Мертвого Моря.  Обладает глубоким очищающим эффектом, выравнивает и увлажняет кожу.<br>Наносится не чаще 2 раз в неделю;15774;1556,75;bio-spa-dead-sea-mud-mask-sea-spa.jpg
Bio Spa Профессиональный увлажняющий крем для волос;Крем обогащен маслом Аргана и маслом Ши.<br>Не требует смывания, наносится на влажные волосы.<br>Крем питает и увлажняет волосы, делает их гладкими и послушными в укладке. В то же время, масла не отягощают волосы, поэтому этот продукт относится к профессиональному уходу - после укладки прическа держится долго и волосы выглядят ухоженно;15836;1101,75;bio-spa-professional-leave-hair-moisturizing-cream-enriched-argan-oil-and-shea-butter.gif
Canaan Organic Восстанавливающий крем для тела;Крем питает кожу, давай клеткам энергию, омолаживая кожу.;16393;1296,75;canaan-organic-revitalizing-body-cream-organic-skin-care.gif
Canaan крем для рук, Dead Sea Cosmetics;Canaan Крем для рук считается лучшим в этой серии.<br>Содержит минералы Мертвого Моря и интенсивную увлажняющую и восстанавливающую кремовую основу.<br>Подходит для любого типа кожи;16410;776,75;canaan-hand-cream-dead-sea-cosmetics.gif
Canaan Крем-пилинг для ног, Dead Sea Cosmetics;Очищает кожу, мягко растворяя огрубевшую кожу ног. Содержит кислоты исключительно растительного происхождения;16422;841,75;canaan-peeling-foot-cream-dead-sea-cosmetics.gif
Canaan Лосьон для тела на водной основе, Dead Sea Cosmetics;Смягчает и увлажняет. Это лосьон на водной основе, поэтому он подходит для жирной или комбинированной кожи, раскрывает поры и в то же время удерживает влагу внутри.;16446;1296,75;canaan-aqua-based-body-lotion-dead-sea-cosmetics.gif
Canaan Масло - кондиционер для тела, Organic Cosmetics;Питательное, увлажняющее масло - кондиционер, используется ПОСЛЕ ванной или душа или при массаже.;16385;1296,75;canaan-conditioning-body-oil-organic-cosmetics.gif
Canaan Массажное масло для тела, Dead Sea Cosmetics;Очищают кожу, оказывает легкий разогревающий эффект, содержит растительные масла;16448;1036,75;canaan-rich-massage-body-oil-dead-sea-cosmetics.gif
Canaan многофункциональный крем для рук, Organic Cosmetics;Комплексный уход за чувствительной кожей рук. Органические  масла орехов макадамии, жожоба и оливок.<br>Смягчает кожу рук, снимает раздражение, делает кожу гладкой  и эластичной;16389;906,75;canaan-multi-action-hand-cream-organic-cosmetics.gif
Dead Sea Защитный крем для рук, Natural Sea Beauty;Защищает кожу рук от УФ - воздействия и смягчает;7116;1491,75;dead-sea-protective-hand-cream-natural-sea-beauty.jpg
Dead Sea Интенсивный защитный крем для рук,  Sea of Spa;Интенсивный, усиленная защита кожи рук с минералами Мертвого Моря. Восстанавливает, смягчает и питает кожу рук. 150 ml;15330;646,75;dead-sea-intensive-protection-hand-cream-sea-spa.gif
Dead Sea Набор для ухода за ногтями;Набор для ухода за ногтями:<br>- интенсивный восстанавливающий гель для рук и ногтей с минералами мертвого Моря и масло алоэ,<br>- пилка для ногтей с 4 полирующими поверхностями,<br>- масло для кутикулы и<br>- 2 увлажняющие полирующие салфетки;15940;1946,75;dead-sea-nail-care-kit.gif
Mogador питательный крем для волос, Аргановое масло (Mogador Nourishing Hair Cream, Argan Oil);Крем содержит концентрированный запатентованный комплекс   JAS Organic Complex™  , который восстанавливает волосы,спаивает секущиеся кончики и ухаживает за кожей гооловы;16544;1101,75;mogador-nourishing-hair-cream-argan-oil.jpg
АГАВА несмываемый интенсивный крем для ног из грязей Мертвого моря Dermud;Dermud - интенсивный крем для ног для чувствительной и сухой кожи из эксклюзивной смеси минералов Мертвого моря от АГАВА. Насыщенный крем, который защищает кожу от воздействий, заживляет трещины, смягчает грубую кожу и питает даже самую сухую кожу. Не содержит парабенов и дерматологически протестирован. 100 мл, 3.4 унций тюбик;15212;714,35;ahava-leave-deadsea-mud-dermud-intensive-foot-cream_1.jpg
Антивозрастной облепиховый увлажняющий крем для лица с минералами Мертвого Моря, SPF20;Питает и увлажняет кож. Минералы Мертвого Моря и растительные экстракты помогают избавиться от морщин и не жирнят кожу. Защищает от УФ - воздействия. Для нормальной и сухой кожи;14904;1751,75;anti-aging-sea-buckthorn-obliphica-facial-moisturizer-spf-20-dead-sea-minerals.jpg
Восстанавливающий крем для ног с комплексом Urea Мертвого моря от Natural Sea Beauty;Natural Sea Beauty выделяется в области косметических продуктов использованием минералов Мертвого моря для большего эффекта, увлажнения кожи и омолаживания ее, приводя в здоровое состояние. Их Минеральный восстанавливающий лосьон для тела - это прекрасный выбор для здоровья вашей кожи и счастье.;16990;1621,75;dead-sea-foot-repair-cream-20-urea-natural-sea-beauty.jpg
Гель - пилинг для лица, косметика Мертвого Моря;Уникальный гель с минеральными компонентами Мертвого Моря. Гель безопасен ( не сжигает) и может наносится на лицо, шею и зону декольте. Удаляет омертвевшие клетки кожи и способствует омоложению и регенерации. Гель гипоалергенный, не вызывает раздражений на коже;16007;1816,75;dead-sea-facial-peeling-gel.jpg
Гель для волос с облепиховым маслом и минералами Мертвого Моря;Один из ключевых компонентов этого геля - водоросль  Dunaliella<br>Это красная водоросль, присутствующая только в водах Мертвого Моря.<br>Гель восстанавливает сухие волосы, поврежденные и волосы, подвергшиеся термообработке.<br>Гель смягчает, увлажняет и делает волосы гладкими.;15850;1426,75;bio-spa-hair-silicon-drops-obliphica-oil-and-dead-sea-minerals.gif
Гранатовый восстанавливающий крем для лица и шеи с минералами Мертвого Моря, SPF 15;Увлажняющий антивозрастной крем с экстрактом граната и органовым маслом. Для всех типов кожи. 50 мл;14924;1751,75;pomegranate-firming-face-and-neck-cream-dead-sea-minerals-spf-15.jpg
Деликатный крем для глаз от Sea of Spa и Bio-Marine;Чувствительная область вокруг глаз может высохнуть, но ею часто пренебрегают. Этот легко впитывающийся крем для глаз разглаживает кожу и помогает замедлить процесс старения, сохраняя кожу увлаженной и мягкой. 50мл / 1.7 жидких унций;17299;1621,75;bio-marine-delicate-eye-cream-sea-spa_0.jpg
Интенсивный Крем для рук и ногтей  Dead Sea с минералами Мертвого моря, маслом Авокадо и Алоэ;Защищает кожу рук и питает ногти, обогащен Алоэ Вера, маслом Авокади витамином Е. Смягчает кожу и делает более упругой . 100ml;17394;646,75;intensive-dead-sea-minerals-hand-and-nail-cream-avocado-oil-and-aloe-vera.jpg
Интенсивный крем для рук с минералами Мертвого Моря;Самый интенсивный и питательный минеральный крем для рук продукциии Dead Sea .<br>Очень эффективно увлажняет, питает и восстанавливает поврежденную чувствительную кожу, содержит комплекс масел и витамин Е.;15805;2141,75;alternative-plus-intensive-hand-cream-dead-sea-minerals.jpg
Коллагеновая восстанавливающая маска с минералами Мертвого Моря;Антивозрастная антиоксидантная маска с коллагеном, минералами Мертвого Моря и растительными экстрактами.100 мл упаковка;13177;1751,75;collagen-firming-facial-mask-dead-sea-minerals.jpg
Концентрированное  Морокканское Аргановое масло - уход за волосами (Pure Moroccan Argan Oil for Hair;Веками Берберские женщины на юге Марокко of Morocco собирали плоды дерева Аргана и выжимали из него масло. Это полностью натуральный продукт, оказывающий длительное воздействие не только на волосы.<br><br>Секрет полезности масла Арганы - в его составе.<br>В первую очередь, это витамин E и необходимые жирные кислоты, которые питают кожу  и улучшают циркуляцию крови кожи головы, делая луковицы волос более сильными.<br>Масло увлажняет, питает и оздоравливает кожу и волосы<br>Объем - 250 мл;15724;8446,75;pure-moroccan-argan-oil-hair-treatment-250-ml.jpg
Крем для рук  - Авокадо, Dead Sea, Sea of Spa, набор из 2-х флаконов;Крем с основными минералами Мертвого Моря и защитными фильтрафи Sea of Spa. Восстанавливает кожу рук, увляжняя и смягчая ее. Омоложаживающий эффект 100 ml;15339;516,75;dead-sea-avocado-hand-cream-sea-spa-set-2.gif
Крем для рук ДЛЯ МУЖЧИН с витаминами, Dead Sea Products;Минералы и витамины в составе крема обеспечат необходимый уход за более грубой мужской кожей.;16120;841,75;treatment-vitamin-hand-cream-men-dead-sea-products.jpg
Маска для поврежденых окрашенных волос с маслом Аргана, маслом ши, Dead Sea Cosmetics;Восстанавливает поврежденные окрашиванием волосы. Входящие в состав маски масла подпитывают корни волос и делают волосы блестящими, устраняют сухость, хрупкость и секущиеся кончики.;16258;1231,75;mask-damaged-colored-hair-argan-oil-shea-butter-dead-sea-cosmetics.jpg
Маска-пилинг с минералами Мертвого Моря и абрикосовыми микро-гранулами;Пилинг-маска  - очищает   and отшелушивает, оживляя и  and омолаживая кожу практически мгновенно. 100 мл;13179;1751,75;dead-sea-mineral-peeling-mask-apricot-micro-grains.jpg
Масло Аргана из Марокко - уход за волосами (Argan Life Moroccan Argan Oil for Hair Treatment );Это марокканское масло считается лучшим для ухода за поврежденными и сечеными волосами.<br><br>Состав масла определяет его свойства:<br>- во-первых, это вещества - антиоксиданты - они восстанавливают волосы,  которые повреждены внешней средой, термообработкой или неправильной стрижкой.<br><br>-во-вторых, это фитонутриенты - питательные вещества, применимые для всех типов волос.;15723;3766,75;argan-life-moroccan-argan-oil-hair-treatment.jpg
Минеральные крема для рук и ногтей, Dead Sea;Крема для любого типа кожи. Защищают, питают и укрепляют ногти. Три разных растительных экстракта и три аромата;16111;646,75;hands-and-nail-cream-dead-sea-minerals.jpg
Минеральный освежающий тоник, Косметика мертвого Моря, Sea of Spa;Обогащен минеральными веществами Мертвого Моря и растительными экстрактами.  Омолаживающий эффект;7478;1556,75;dead-sea-mineral-refreshing-toner-sea-spa.jpg
Мультивитаминный крем для лица с минералам Мертвого Моря SPF-20;Крем содержит минеральные вещества Мертвого Моря и растительные экстракты, так же содержит солнцезащитные фильтры, защищающие кожу от УФ повреждения. Подходит для нормальной и комбинированной кожи;14920;1751,75;dead-sea-mineral-multi-vitamin-face-cream-spf-20.jpg
Мультивитаминный минеральный крем для рук Dead Sea с аргановым мавслом;Кожа рук испытывает постоянное разрушающее воздействие, контактируя с водой и моющими средствами  Этот крем содержит питательное Аргановое масло, минералы Мертвого Моря и другие восстанавливающие компоненты. 180ml  ;17393;776,75;multi-vitamin-dead-sea-minerals-hand-cream-argan-oil_0.jpg
Набор из трех кремов для рук, Dead Sea Cosmetics;Dead Sea Cosmetics, Грязи и минералы Мертвого Моря увлажняют, питают и смягчают кожу рук. (100 ml);7616;4091,75;natural-sea-beauty-set-3-protective-hand-cream.jpg
Нежный Крем Пилинг Для Лица, Органический Уход За Кожей от Canaan Organic;Этот восстанавливающий крем глубокого очищения сужает поры и ускоряет заживление ран. Для пилинга крем включает в себя компоненты абрикосовых семян.;16381;1621,75;canaan-organic-gentle-facial-peeling-cream-organic-skin-care.gif
Несмываемый интенсивный крем для рук из грязей Мертвого моря Dermud от АГАВА ;Dermud - интенсивный крем для рук для чувствительной и сухой кожи из эксклюзивной смеси минералов Мертвого моря от АГАВА. Насыщенный крем, который защищает кожу от воздействий, заживляет трещины, смягчает грубую кожу и питает даже самую сухую кожу. Не содержит парабенов и дерматологически протестирован. 100 мл, 3.4 унций тюбик;15211;1036,75;ahava-leave-deadsea-mud-dermud-intensive-hand-cream.jpg
Обезжиренный крем для лица с алоэ вера и минералами Мертвого моря крем;Это увлажняющее средство на основе Алоэ Вера и других растительных экстрактов, предназначен для смягчения и защиты жирной кожи. Он не оставляет жирный блеск и отлично подходит в качестве базы под макияж. Для комбинированной и жирной кожи. 50 мл;14919;1751,75;oil-free-aloe-vera-and-dead-sea-minerals-face-cream_0.jpg
Очищающая маска из грязей Мертвого моря с добавлением алоэ вера, 100 мл;Минеральная грязь Мертвого моря, обогащенная Алоэ Вера и натуральные растительные экстракты, для нанесения маски, чтобы очистить и очистить кожу, не высушивая ее. Для всех типов кожи.100 мл тюбик.;13172;1751,75;purifying-dead-sea-mud-mask-aloe-vera-100-ml.jpg
Очищающая маска с минералами Мертвого Моря и Алоэ Вера, 150 мл;Грязевая маска с минералами Мертвого Моря, обогащена растительными экстрактами и масло Алоэ Вера. Очищает кожу, но при этом не сушит. Подходит для всех типов кожи.;13175;1751,75;purifying-dead-sea-mud-mask-aloe-vera-150-ml.jpg
Очищяющий гель с грязью Мертвого Моря, Sea of Spa;Содержит минеральные вещества грязей Мертвого Моря, очищает и увлажняет кожу;7303;1556,75;dead-sea-mud-cleansing-gel-natural-sea-beauty.jpg
Питательная Маска Для Лица Canaan, Косметика Мертвого Моря;Питательная маска для лица высшего качества с потрясающей текстурой и множеством дополнительных питательных свойств, благодаря минералам Мертвого моря и дополнительным ингредиентам, которые были подобраны фирмой Canaan, чтобы улучшить ваши ощущения и раскрыть полный потенциал Вашей кожи.;16408;1556,75;canaan-nourishing-facial-mask-dead-sea-cosmetics.gif
Питательный ночной крем Мертвого моря от Sea of Spa;Восстанавливайте вашу кожу во время сна с этим активным питательным ночным кремом, созданным Sea of Spa. Он использует уникальную смесь эфирных минералов Мертвого моря и других натуральных ингредиентов. Помогите исцелиться своей коже с его помощью от ежедневного воздействия солнца и других агрессивных факторов, в т.ч. токсинов в окружающей среде. 50 мл баночка.;15328;1621,75;dead-sea-nourishing-night-cream-sea-spa.jpg
Соль Мертвого моря, обогащенная минералами;Магия минералов Мертвого моря не ограничивается лечением кожных заболеваний и боли в суставах. Эта смесь солей и минералов Мертвого моря также поможет вам расслабиться и почувствовать себя более здоровым и энергичным. Просто наберите ванну, растворите в воде соли Мертвого моря, сядьте и расслабьтесь.;15778;1751,75;enriched-minerals-dead-sea-salt.gif
Укрепитель для ногтей, Dead Sea Minerals;Гель - укрепитель для ногтей.<br>Минеральные компоненты Мертвого Моря придают ногтям крепкость, а растительные экстракты питают ткань и способствуют ее регенерации;16114;2206,75;nail-hardener-dead-sea-minerals.jpg
Укрепляющая сыворотка для лица из Мертвого моря от Bio-Marine;Укрепляющая сыворотка для лица глубоко очищает кожу, оставляя ее подтянутой и сияющей. От Bio-Marine;15865;1621,75;bio-marine-firming-dead-sea-face-serum.jpg
Ханаанский Водно-питательный крем, Organic Cosmetics;Интенсивно увлажняющий, нежный крем обогащен маслом Алоэ Вера and Маслом Ши. Органические масла получены из Оливы, Орехов Макадамии и Жожоба;16380;1556,75;canaan-hydra-plus-nourishing-cream-organic-cosmetics.gif
